"Based on LIS, as of January 31, 2024",,,,,,,,,,,,,, Kindergarten ,, Grade 1 ,, Grade 2 ,, Grade 3 ,, Grade 4 ,, Grade 5 ,, Grade 6 ,, SNEd (Non-Graded ES) ,, Grade 7 ,, Grade 8 ,, Grade 9 ,, Grade 10 ,, SNEd (Non-Graded JHS) ,, Grade 11 ABM ,, Grade 11 HUMSS ,, Grade 11 STEM ,, Grade 11 GAS ,, Grade 11 PBM ,, Grade 11 TVL ,, Grade 11 SPORTs ,, Grade 11 ARTs & DESIGN ,, Grade 12 ABM ,, Grade 12 HUMSS ,, Grade 12 STEM ,, Grade 12 GAS ,, Grade 12 PBM ,, Grade 12 TVL ,, Grade 12 SPORTs ,, Grade 12 ARTs & DESIGN ,
,,,,,,,,,,,,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Region,Division,District,BEIS School ID,School Name,Street Address,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ACAD - ABM Male,G11 ACAD - ABM Female,G11 ACAD - HUMSS Male,G11 ACAD - HUMSS Female,G11 ACAD STEM Male,G11 ACAD STEM Female,G11 ACAD GAS Male,G11 ACAD GAS Female,G11 ACAD PBM Male,G11 ACAD PBM Female,G11 TVL Male,G11 TVL Female,G11 SPORTS Male,G11 SPORTS Female,G11 ARTS Male,G11 ARTS Female,G12 ACAD - ABM Male,G12 ACAD - ABM Female,G12 ACAD - HUMSS Male,G12 ACAD - HUMSS Female,G12 ACAD STEM Male,G12 ACAD STEM Female,G12 ACAD GAS Male,G12 ACAD GAS Female,G12 ACAD PBM Male,G12 ACAD PBM Female,G12 TVL Male,G12 TVL Female,G12 SPORTS Male,G12 SPORTS Female,G12 ARTS Male,G12 ARTS Female
Region VII,Bohol,Danao,118238,Dagohoy ES,-,BOHOL,DANAO,2nd District,DAGOHOY,Public,DepED Managed,School with no Annexes,Purely ES,8,5,10,8,12,4,5,9,6,9,4,3,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118239,Danao Central Elementary School,Dagohoy Avenue,BOHOL,DANAO,2nd District,POBLACION,Public,DepED Managed,School with no Annexes,Purely ES,37,44,41,38,49,53,49,41,46,44,50,54,61,44,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118240,Danao Gamay PS,"Sitio Danao Gamay, San Carlos",BOHOL,DANAO,2nd District,SAN CARLOS,Public,DepED Managed,School with no Annexes,Purely ES,0,1,1,2,1,4,2,3,4,7,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118241,Hibale ES,Hibale,BOHOL,DANAO,2nd District,HIBALE,Public,DepED Managed,School with no Annexes,Purely ES,6,6,4,16,4,13,3,7,13,14,11,10,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118242,Magtangtang ES,Magtangtang,BOHOL,DANAO,2nd District,MAGTANGTANG,Public,DepED Managed,School with no Annexes,Purely ES,12,11,13,14,16,12,10,24,14,17,12,10,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118243,Nahud Elementary School,Nahud,BOHOL,DANAO,2nd District,NAHUD,Public,DepED Managed,School with no Annexes,Purely ES,18,14,13,6,17,18,12,18,15,10,17,9,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118244,Remedios ES,Remedios,BOHOL,DANAO,2nd District,REMEDIOS,Public,DepED Managed,School with no Annexes,Purely ES,6,16,15,10,8,13,9,12,14,16,11,18,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118245,Rowena Heights Elementary School,"Sitio Rowena Heights, Cabatuan",BOHOL,DANAO,2nd District,CABATUAN,Public,DepED Managed,School with no Annexes,Purely ES,13,10,15,7,9,7,15,10,5,13,6,16,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118246,San Carlos ES,-,BOHOL,DANAO,2nd District,SAN CARLOS,Public,DepED Managed,School with no Annexes,Purely ES,9,13,10,10,11,10,14,15,6,9,12,14,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118247,San Jose Elementary School,"Sitio San Jose, Tabok",BOHOL,DANAO,2nd District,TABOK,Public,DepED Managed,School with no Annexes,Purely ES,8,3,4,2,1,4,6,4,3,5,2,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118248,San Miguel Elementary School,San Miguel,BOHOL,DANAO,2nd District,SAN MIGUEL,Public,DepED Managed,School with no Annexes,Purely ES,6,6,6,6,3,6,6,7,6,3,8,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118249,Santa Ana ES,"Sta. Ana, Concepcion, Danao, Bohol",BOHOL,DANAO,2nd District,CONCEPCION,Public,DepED Managed,School with no Annexes,Purely ES,2,3,6,7,4,6,3,6,2,5,3,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118250,Santa Fe ES,Santa Fe,BOHOL,DANAO,2nd District,SANTA FE,Public,DepED Managed,School with no Annexes,Purely ES,8,4,5,3,11,8,14,9,6,4,19,6,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118251,Santo Niño Elementary School,"Sto. Nino, Danao, Bohol",BOHOL,DANAO,2nd District,SANTO NINO,Public,DepED Managed,School with no Annexes,Purely ES,3,13,8,9,4,13,5,6,9,10,9,5,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118252,Tabok ES,Tabok,BOHOL,DANAO,2nd District,TABOK,Public,DepED Managed,School with no Annexes,Purely ES,8,5,4,4,3,2,4,7,5,7,5,4,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118253,Taming Elementary School,"Taming, Danao, Bohol",BOHOL,DANAO,2nd District,TAMING,Public,DepED Managed,School with no Annexes,Purely ES,10,12,13,8,12,16,13,16,16,12,16,10,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118254,Villa Anunciado ES,Villa Anunciado,BOHOL,DANAO,2nd District,VILLA ANUNCIADO,Public,DepED Managed,School with no Annexes,Purely ES,1,1,1,1,1,3,2,1,1,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,302841,Danao NHS,Poblacion,BOHOL,DANAO,2nd District,POBLACION,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,81,99,96,104,119,123,120,0,0,0,0,0,0,0,0,11,26,0,0,115,112,0,0,0,0,0,0,0,0,0,0,19,35,0,0,127,85,0,0,0,0
Region VII,Bohol,Danao,302842,Cantubod NHS,Cantubod,BOHOL,DANAO,2nd District,CANTUBOD,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,31,54,40,46,34,36,39,0,0,0,0,0,0,0,0,11,22,0,0,35,21,0,0,0,0,0,0,0,0,0,0,19,24,0,0,21,18,0,0,0,0
Region VII,Bohol,Danao,302843,Francisco Dagohoy Memorial High School,Magtangtang,BOHOL,DANAO,2nd District,MAGTANGTANG,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,21,26,21,23,23,21,0,0,0,0,0,0,0,0,17,10,0,0,7,7,0,0,0,0,0,0,0,0,0,0,18,13,0,0,8,11,0,0,0,0
Region VII,Bohol,Danao,302844,Taming NHS,Taming,BOHOL,DANAO,2nd District,TAMING,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,29,51,26,32,28,30,37,0,0,0,0,0,0,0,0,2,2,0,0,42,17,0,0,0,0,0,0,0,0,0,0,0,5,0,0,39,19,0,0,0,0
Region VII,Bohol,Danao,491512,"Ancillae Trinitatis Learning Center , Inc, Danao Branch",Poblacion,BOHOL,DANAO,2nd District,POBLACION,Private,Sectarian ,School with no Annexes,Purely ES,3,3,5,7,3,2,2,3,2,1,4,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,491513,Danao Bohol Christian School Inc.,"Trazo St., Poblacion",BOHOL,DANAO,2nd District,POBLACION,Private,Non-Sectarian ,School with no Annexes,Purely ES,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dauis,118255,Biking ES,Biking,BOHOL,DAUIS,1st District,BIKING,Public,DepED Managed,School with no Annexes,Purely ES,27,28,33,25,36,32,37,22,24,26,37,34,34,27,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dauis,118256,Bingag ES,Bingag,BOHOL,DAUIS,1st District,BINGAG,Public,DepED Managed,School with no Annexes,Purely ES,32,39,43,45,40,33,47,40,47,38,38,27,47,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dauis,118257,Catarman ES,Catarman,BOHOL,DAUIS,1st District,CATARMAN,Public,DepED Managed,School with no Annexes,Purely ES,25,20,30,44,48,31,46,30,44,34,49,30,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dauis,118258,Dao ES,Dao,BOHOL,DAUIS,1st District,DAO,Public,DepED Managed,School with no Annexes,Purely ES,29,12,19,10,14,16,22,12,22,14,22,19,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dauis,118259,Dauis Central ES,Poblacion,BOHOL,DAUIS,1st District,POBLACION,Public,DepED Managed,School with no Annexes,Purely ES,24,29,44,38,38,28,39,27,34,32,38,30,38,38,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dauis,118260,Mariveles ES,Mariveles,BOHOL,DAUIS,1st District,MARIVELES,Public,DepED Managed,School with no Annexes,Purely ES,29,28,29,40,43,32,39,35,45,41,35,31,38,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dauis,118261,Mayacabac ES,Mayacabac,BOHOL,DAUIS,1st District,MAYACABAC,Public,DepED Managed,School with no Annexes,Purely ES,33,38,36,39,54,20,50,34,37,40,46,40,36,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dauis,118262,San Isidro ES,San Isidro,BOHOL,DAUIS,1st District,SAN ISIDRO (CANLONGON),Public,DepED Managed,School with no Annexes,Purely ES,17,17,12,12,14,11,17,7,18,10,20,20,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dauis,118263,Songculan ES,Songculan,BOHOL,DAUIS,1st District,SONGCULAN,Public,DepED Managed,School with no Annexes,Purely ES,60,27,35,54,47,55,43,44,48,38,43,40,38,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dauis,118264,Tabalong ES,Tabalong,BOHOL,DAUIS,1st District,TABALONG,Public,DepED Managed,School with no Annexes,Purely ES,43,40,45,35,44,36,49,51,42,47,63,37,54,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dauis,118265,Tinago ES,Tinago,BOHOL,DAUIS,1st District,TINAGO,Public,DepED Managed,School with no Annexes,Purely ES,29,26,24,25,34,36,26,23,21,21,28,22,28,22,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dauis,118266,Totolan Elementary School,Totolan,BOHOL,DAUIS,1st District,TOTOLAN,Public,DepED Managed,School with no Annexes,Purely ES,41,52,44,39,55,52,46,58,63,64,49,41,59,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dauis,302817,Biking Tech-Voc HS,Biking,BOHOL,DAUIS,1st District,BIKING,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,92,107,93,95,77,102,80,0,0,0,0,0,0,0,0,6,12,0,0,70,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,73,0,0,0,0
Region VII,Bohol,Dauis,302908,Tabalong NHS,Tabalong,BOHOL,DAUIS,1st District,TABALONG,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,107,111,128,170,153,163,148,0,0,0,0,0,0,0,0,63,113,0,0,66,30,0,0,0,0,0,0,0,0,0,0,30,69,0,0,93,49,0,0,0,0
Region VII,Bohol,Dauis,312304,Dauis National High School,Mariveles,BOHOL,DAUIS,1st District,MARIVELES,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,40,63,46,63,53,65,56,0,0,0,0,0,0,0,0,12,34,0,0,30,0,0,0,0,0,0,0,0,0,0,0,14,36,0,0,54,0,0,0,0,0
Region VII,Bohol,Dauis,409514,"Catar Easter School, Inc.","Purok 5, Catarman",BOHOL,DAUIS,1st District,CATARMAN,Private,Sectarian ,School with no Annexes,Purely ES,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dauis,446528,"Mateo Alejandra Estaño Learning Center, Inc.",Bingag Dauis,BOHOL,DAUIS,1st District,BINGAG,Private,Sectarian ,School with no Annexes,Purely ES,15,3,10,2,7,3,8,5,1,4,3,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dauis,446544,International Academe of EnScieMa,"TOTOLAN, DAUIS, BOHOL",BOHOL,DAUIS,1st District,TOTOLAN,Private,Non-Sectarian ,School with no Annexes,All Offering,10,15,12,16,13,17,16,8,7,13,18,9,5,11,0,0,7,9,10,12,9,9,16,13,0,0,0,0,0,3,9,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,9,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dauis,446556,"Dauis Christian School, Inc.",Circulado,BOHOL,DAUIS,1st District,POBLACION,Private,Non-Sectarian ,School with no Annexes,Purely ES,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dauis,446633,Landmark Baptist Christian Academy,"Zone 1, Totolan, Dauis",BOHOL,DAUIS,1st District,TOTOLAN,Private,Non-Sectarian ,School with no Annexes,ES and JHS,2,4,1,2,2,0,1,2,3,2,3,4,3,3,0,0,2,2,4,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dimiao,118267,Banban ES,Puangyuta,BOHOL,DIMIAO,3rd District,PUANGYUTA,Public,DepED Managed,School with no Annexes,Purely ES,9,8,13,3,8,7,5,5,12,5,7,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dimiao,118268,Bauhugan ES,Bauhugan,BOHOL,DIMIAO,3rd District,BAUHUGAN,Public,DepED Managed,School with no Annexes,Purely ES,8,4,12,5,3,3,2,2,6,8,10,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dimiao,118269,Cabagakian Elementary School,Cabagakian,BOHOL,DIMIAO,3rd District,CABAGAKIAN,Public,DepED Managed,School with no Annexes,Purely ES,3,4,5,6,4,5,8,3,7,2,9,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dimiao,118270,Cadap-agan ES,"Cadap-agan, Dimiao, Bohol",BOHOL,DIMIAO,3rd District,CADAP-AGAN,Public,DepED Managed,School with no Annexes,Purely ES,6,7,2,7,3,4,6,7,5,3,6,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dimiao,118271,Cambayaon ES,Cambayaon,BOHOL,DIMIAO,3rd District,CAMBAYAON,Public,DepED Managed,School with no Annexes,Purely ES,10,8,9,15,10,12,13,13,10,9,15,10,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dimiao,118272,Canhayupon ES,Canhayupon,BOHOL,DIMIAO,3rd District,CANHAYUPON,Public,DepED Managed,School with no Annexes,Purely ES,2,4,6,2,6,8,7,3,4,8,8,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dimiao,118273,Canlambong ES,Canlambong,BOHOL,DIMIAO,3rd District,CANLAMBONG,Public,DepED Managed,School with no Annexes,Purely ES,5,7,8,5,12,7,8,9,9,8,6,8,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dimiao,118274,Catugasan ES,Alemania,BOHOL,DIMIAO,3rd District,ALEMANIA,Public,DepED Managed,School with no Annexes,Purely ES,7,11,9,3,8,9,10,7,16,15,9,8,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dimiao,118275,Dimiao Central ES,Purok 2 Sawang,BOHOL,DIMIAO,3rd District,SAWANG,Public,DepED Managed,School with no Annexes,Purely ES,18,19,26,29,27,26,30,32,30,32,28,27,31,22,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dimiao,118276,Guindaguitan ES,Abihid,BOHOL,DIMIAO,3rd District,ABIHID,Public,DepED Managed,School with no Annexes,Purely ES,3,3,6,4,8,4,10,9,6,3,6,7,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dimiao,118277,Lapsaon ES,Lapsaon,BOHOL,DIMIAO,3rd District,LAPSAON,Public,DepED Managed,School with no Annexes,Purely ES,9,3,6,7,6,3,3,7,9,3,8,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dimiao,118278,Limokon Elementary School,Limokon Ilaod,BOHOL,DIMIAO,3rd District,LIMOKON ILAOD,Public,DepED Managed,School with no Annexes,Purely ES,7,1,4,9,7,7,10,11,3,4,10,6,11,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dimiao,118279,Oac ES,"Oac,Dimiao,Bohol",BOHOL,DIMIAO,3rd District,OAC,Public,DepED Managed,School with no Annexes,Purely ES,6,6,6,7,5,9,12,9,11,9,6,6,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dimiao,118280,Pagsa ES,"Baguhan,Dimiao",BOHOL,DIMIAO,3rd District,BAGUHAN,Public,DepED Managed,School with no Annexes,Purely ES,4,8,8,5,1,7,6,13,6,4,11,6,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dimiao,118281,Tangohay ES,Tangohay,BOHOL,DIMIAO,3rd District,TANGOHAY,Public,DepED Managed,School with no Annexes,Purely ES,5,2,9,4,3,4,5,7,12,6,12,10,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dimiao,302832,Canhayupon NHS,Canhayupon,BOHOL,DIMIAO,3rd District,CANHAYUPON,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,24,22,28,40,34,29,42,0,0,0,0,0,0,0,0,9,25,0,0,28,14,0,0,0,0,0,0,0,0,0,0,20,22,0,0,31,12,0,0,0,0
Region VII,Bohol,Dimiao,302845,Dimiao NHS,Puangyuta,BOHOL,DIMIAO,3rd District,PUANGYUTA,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,42,41,58,63,71,69,67,0,0,0,0,0,0,0,0,30,43,0,0,34,18,0,0,0,0,0,0,0,0,0,0,11,44,0,0,59,19,0,0,0,0
Region VII,Bohol,Dimiao,404244,SAINT NICHOLAS ACADEMY,"Luyo, Dimiao, Bohol",BOHOL,DIMIAO,3rd District,LUYO,Private,Sectarian ,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,25,38,34,49,29,39,31,0,0,0,0,13,18,0,0,32,31,0,0,9,5,0,0,0,0,0,0,14,15,0,0,31,10,0,0,1,10,0,0,0,0
Region VII,Bohol,Dimiao,409351,"Dimiao Christian Academy, Inc.",Can-andam,BOHOL,DIMIAO,3rd District,TAONGON CAN-ANDAM,Private,Non-Sectarian ,School with no Annexes,Purely ES,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Duero,118282,Alejawan PS,Alejawan,BOHOL,DUERO,3rd District,ALEJAWAN,Public,DepED Managed,School with no Annexes,Purely ES,6,5,13,3,8,8,7,7,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
